chunk_id,doc_slug,doc_title,section_heading,owner,text
code-of-conduct::9-document-control,code-of-conduct,Code of Conduct,9. Document Control,Compliance,"Code of Conduct
9. Document Control
Document owner: Code of Conduct owner

Version: 3.0-rag

Effective date: 2026-04-20

Review frequency: annual or upon material change"
hr-policies-and-procedures::1-purpose-and-scope,hr-policies-and-procedures,HR Policies and Procedures Manual,1. Purpose and Scope,People Operations,"HR Policies and Procedures Manual
1. Purpose and Scope
HR Policies and Procedures Manual describes the formal policy requirements and operating procedures used by Northstar Analytics Ltd.. It is written as a synthetic but realistic document for training retrieval, summarization, and question-answering systems.

This document applies to all employees, interns, temporary workers, and approved contractors unless a section explicitly states otherwise.

Managers are responsible for enforcing this policy consistently and for escalating unusual cases to the document owner."
hr-policies-and-procedures::2-roles-and-responsibilities,hr-policies-and-procedures,HR Policies and Procedures Manual,2. Roles and Responsibilities,People Operations,"HR Policies and Procedures Manual
2. Roles and Responsibilities
Employees must read, understand, and follow the policy requirements relevant to their role.

Managers must document exceptions in writing and retain approvals in the designated system of record.

The document owner reviews this policy at least annually and whenever business, legal, or technical requirements materially change."
hr-policies-and-procedures::3-recruitment,hr-policies-and-procedures,HR Policies and Procedures Manual,3. Recruitment,People Operations,"HR Policies and Procedures Manual
3. Recruitment
The section on recruitment defines the standard rule, the approval path, and the records that must be retained.

Requests related to recruitment should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for recruitment, the exception must include the reason, the duration, and any compensating controls.

Records related to recruitment must be stored in the designated repository with a clear owner and retention period.

Metrics related to recruitment should be reviewed periodically to identify recurring issues and opportunities for improvement."
hr-policies-and-procedures::4-onboarding,hr-policies-and-procedures,HR Policies and Procedures Manual,4. Onboarding,People Operations,"HR Policies and Procedures Manual
4. Onboarding
The section on onboarding defines the standard rule, the approval path, and the records that must be retained.

Requests related to onboarding should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for onboarding, the exception must include the reason, the duration, and any compensating controls.

Records related to onboarding must be stored in the designated repository with a clear owner and retention period.

Metrics related to onboarding should be reviewed periodically to identify recurring issues and opportunities for improvement."
hr-policies-and-procedures::5-records-management,hr-policies-and-procedures,HR Policies and Procedures Manual,5. Records Management,People Operations,"HR Policies and Procedures Manual
5. Records Management
The section on records management defines the standard rule, the approval path, and the records that must be retained.

Requests related to records management should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for records management, the exception must include the reason, the duration, and any compensating controls.

Records related to records management must be stored in the designated repository with a clear owner and retention period.

Metrics related to records management should be reviewed periodically to identify recurring issues and opportunities for improvement."
hr-policies-and-procedures::6-training,hr-policies-and-procedures,HR Policies and Procedures Manual,6. Training,People Operations,"HR Policies and Procedures Manual
6. Training
The section on training defines the standard rule, the approval path, and the records that must be retained.

Requests related to training should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for training, the exception must include the reason, the duration, and any compensating controls.

Records related to training must be stored in the designated repository with a clear owner and retention period.

Metrics related to training should be reviewed periodically to identify recurring issues and opportunities for improvement."
hr-policies-and-procedures::7-offboarding,hr-policies-and-procedures,HR Policies and Procedures Manual,7. Offboarding,People Operations,"HR Policies and Procedures Manual
7. Offboarding
The section on offboarding defines the standard rule, the approval path, and the records that must be retained.

Requests related to offboarding should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for offboarding, the exception must include the reason, the duration, and any compensating controls.

Records related to offboarding must be stored in the designated repository with a clear owner and retention period.

Metrics related to offboarding should be reviewed periodically to identify recurring issues and opportunities for improvement."
hr-policies-and-procedures::8-exceptions-and-escalations,hr-policies-and-procedures,HR Policies and Procedures Manual,8. Exceptions and Escalations,People Operations,"HR Policies and Procedures Manual
8. Exceptions and Escalations
Exceptions must be rare, time-bound, and approved by the designated authority named in the relevant section.

All exceptions must be logged with the approver, rationale, expiration date, and any required follow-up actions."
hr-policies-and-procedures::9-document-control,hr-policies-and-procedures,HR Policies and Procedures Manual,9. Document Control,People Operations,"HR Policies and Procedures Manual
9. Document Control
Document owner: HR Policies and Procedures Manual owner

Version: 3.0-rag

Effective date: 2026-04-20

Review frequency: annual or upon material change"
it-security-policy::1-purpose-and-scope,it-security-policy,IT Security Policy,1. Purpose and Scope,Security,"IT Security Policy
1. Purpose and Scope
IT Security Policy describes the formal policy requirements and operating procedures used by Northstar Analytics Ltd.. It is written as a synthetic but realistic document for training retrieval, summarization, and question-answering systems.

This document applies to all employees, interns, temporary workers, and approved contractors unless a section explicitly states otherwise.

Managers are responsible for enforcing this policy consistently and for escalating unusual cases to the document owner."
it-security-policy::2-roles-and-responsibilities,it-security-policy,IT Security Policy,2. Roles and Responsibilities,Security,"IT Security Policy
2. Roles and Responsibilities
Employees must read, understand, and follow the policy requirements relevant to their role.

Managers must document exceptions in writing and retain approvals in the designated system of record.

The document owner reviews this policy at least annually and whenever business, legal, or technical requirements materially change."
it-security-policy::3-identity-and-access,it-security-policy,IT Security Policy,3. Identity And Access,Security,"IT Security Policy
3. Identity And Access
The section on identity and access defines the standard rule, the approval path, and the records that must be retained.

Requests related to identity and access should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for identity and access, the exception must include the reason, the duration, and any compensating controls.

Production system access must be provisioned through role-based groups and approved by both the manager and system owner.

Shared accounts are prohibited except for approved service accounts with documented owners."
it-security-policy::4-device-management,it-security-policy,IT Security Policy,4. Device Management,Security,"IT Security Policy
4. Device Management
The section on device management defines the standard rule, the approval path, and the records that must be retained.

Requests related to device management should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for device management, the exception must include the reason, the duration, and any compensating controls.

Records related to device management must be stored in the designated repository with a clear owner and retention period.

Metrics related to device management should be reviewed periodically to identify recurring issues and opportunities for improvement."
it-security-policy::5-password-and-mfa,it-security-policy,IT Security Policy,5. Password And Mfa,Security,"IT Security Policy
5. Password And Mfa
The section on password and MFA defines the standard rule, the approval path, and the records that must be retained.

Requests related to password and MFA should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for password and MFA, the exception must include the reason, the duration, and any compensating controls.

Records related to password and MFA must be stored in the designated repository with a clear owner and retention period.

Metrics related to password and MFA should be reviewed periodically to identify recurring issues and opportunities for improvement."
it-security-policy::6-logging-and-monitoring,it-security-policy,IT Security Policy,6. Logging And Monitoring,Security,"IT Security Policy
6. Logging And Monitoring
The section on logging and monitoring defines the standard rule, the approval path, and the records that must be retained.

Requests related to logging and monitoring should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for logging and monitoring, the exception must include the reason, the duration, and any compensating controls.

Records related to logging and monitoring must be stored in the designated repository with a clear owner and retention period.

Metrics related to logging and monitoring should be reviewed periodically to identify recurring issues and opportunities for improvement."
it-security-policy::7-incident-reporting,it-security-policy,IT Security Policy,7. Incident Reporting,Security,"IT Security Policy
7. Incident Reporting
The section on incident reporting defines the standard rule, the approval path, and the records that must be retained.

Requests related to incident reporting should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for incident reporting, the exception must include the reason, the duration, and any compensating controls.

Security incidents must be reported to the Security team within 24 hours of discovery, and high-severity incidents should be reported immediately.

Suspected phishing messages should be reported using the mailbox reporting button and must not be forwarded externally."
it-security-policy::8-exceptions-and-escalations,it-security-policy,IT Security Policy,8. Exceptions and Escalations,Security,"IT Security Policy
8. Exceptions and Escalations
Exceptions must be rare, time-bound, and approved by the designated authority named in the relevant section.

All exceptions must be logged with the approver, rationale, expiration date, and any required follow-up actions."
it-security-policy::9-document-control,it-security-policy,IT Security Policy,9. Document Control,Security,"IT Security Policy
9. Document Control
Document owner: IT Security Policy owner

Version: 3.0-rag

Effective date: 2026-04-20

Review frequency: annual or upon material change"
data-protection-policy::1-purpose-and-scope,data-protection-policy,Data Protection and Privacy Policy,1. Purpose and Scope,Privacy,"Data Protection and Privacy Policy
1. Purpose and Scope
Data Protection and Privacy Policy describes the formal policy requirements and operating procedures used by Northstar Analytics Ltd.. It is written as a synthetic but realistic document for training retrieval, summarization, and question-answering systems.

This document applies to all employees, interns, temporary workers, and approved contractors unless a section explicitly states otherwise.

Managers are responsible for enforcing this policy consistently and for escalating unusual cases to the document owner."
data-protection-policy::2-roles-and-responsibilities,data-protection-policy,Data Protection and Privacy Policy,2. Roles and Responsibilities,Privacy,"Data Protection and Privacy Policy
2. Roles and Responsibilities
Employees must read, understand, and follow the policy requirements relevant to their role.

Managers must document exceptions in writing and retain approvals in the designated system of record.

The document owner reviews this policy at least annually and whenever business, legal, or technical requirements materially change."
data-protection-policy::3-personal-data-categories,data-protection-policy,Data Protection and Privacy Policy,3. Personal Data Categories,Privacy,"Data Protection and Privacy Policy
3. Personal Data Categories
The section on personal data categories defines the standard rule, the approval path, and the records that must be retained.

Requests related to personal data categories should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for personal data categories, the exception must include the reason, the duration, and any compensating controls.

Records related to personal data categories must be stored in the designated repository with a clear owner and retention period.

Metrics related to personal data categories should be reviewed periodically to identify recurring issues and opportunities for improvement."
data-protection-policy::4-lawful-basis,data-protection-policy,Data Protection and Privacy Policy,4. Lawful Basis,Privacy,"Data Protection and Privacy Policy
4. Lawful Basis
The section on lawful basis defines the standard rule, the approval path, and the records that must be retained.

Requests related to lawful basis should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for lawful basis, the exception must include the reason, the duration, and any compensating controls.

Records related to lawful basis must be stored in the designated repository with a clear owner and retention period.

Metrics related to lawful basis should be reviewed periodically to identify recurring issues and opportunities for improvement."
data-protection-policy::5-retention,data-protection-policy,Data Protection and Privacy Policy,5. Retention,Privacy,"Data Protection and Privacy Policy
5. Retention
The section on retention defines the standard rule, the approval path, and the records that must be retained.

Requests related to retention should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for retention, the exception must include the reason, the duration, and any compensating controls.

Routine HR and operational records are generally retained for 7 years unless a longer period is required by contract, litigation hold, or law.

Deletion schedules must be paused when a legal hold notice is issued."
data-protection-policy::6-data-subject-requests,data-protection-policy,Data Protection and Privacy Policy,6. Data Subject Requests,Privacy,"Data Protection and Privacy Policy
6. Data Subject Requests
The section on data subject requests defines the standard rule, the approval path, and the records that must be retained.

Requests related to data subject requests should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for data subject requests, the exception must include the reason, the duration, and any compensating controls.

Privacy requests should be acknowledged within 5 business days and tracked to closure in the privacy request log.

Identity must be reasonably verified before personal data is disclosed or erased."
data-protection-policy::7-breach-response,data-protection-policy,Data Protection and Privacy Policy,7. Breach Response,Privacy,"Data Protection and Privacy Policy
7. Breach Response
The section on breach response defines the standard rule, the approval path, and the records that must be retained.

Requests related to breach response should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for breach response, the exception must include the reason, the duration, and any compensating controls.

Potential personal data breaches must be escalated to Privacy and Security immediately for assessment.

Internal notification should occur without undue delay and target an initial assessment window of 72 hours."
data-protection-policy::8-exceptions-and-escalations,data-protection-policy,Data Protection and Privacy Policy,8. Exceptions and Escalations,Privacy,"Data Protection and Privacy Policy
8. Exceptions and Escalations
Exceptions must be rare, time-bound, and approved by the designated authority named in the relevant section.

All exceptions must be logged with the approver, rationale, expiration date, and any required follow-up actions."
data-protection-policy::9-document-control,data-protection-policy,Data Protection and Privacy Policy,9. Document Control,Privacy,"Data Protection and Privacy Policy
9. Document Control
Document owner: Data Protection and Privacy Policy owner

Version: 3.0-rag

Effective date: 2026-04-20

Review frequency: annual or upon material change"
remote-work-policy::1-purpose-and-scope,remote-work-policy,Remote Work Policy,1. Purpose and Scope,People Operations,"Remote Work Policy
1. Purpose and Scope
Remote Work Policy describes the formal policy requirements and operating procedures used by Northstar Analytics Ltd.. It is written as a synthetic but realistic document for training retrieval, summarization, and question-answering systems.

This document applies to all employees, interns, temporary workers, and approved contractors unless a section explicitly states otherwise.

Managers are responsible for enforcing this policy consistently and for escalating unusual cases to the document owner."
remote-work-policy::2-roles-and-responsibilities,remote-work-policy,Remote Work Policy,2. Roles and Responsibilities,People Operations,"Remote Work Policy
2. Roles and Responsibilities
Employees must read, understand, and follow the policy requirements relevant to their role.

Managers must document exceptions in writing and retain approvals in the designated system of record.

The document owner reviews this policy at least annually and whenever business, legal, or technical requirements materially change."
remote-work-policy::3-eligibility,remote-work-policy,Remote Work Policy,3. Eligibility,People Operations,"Remote Work Policy
3. Eligibility
The section on eligibility defines the standard rule, the approval path, and the records that must be retained.

Requests related to eligibility should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for eligibility, the exception must include the reason, the duration, and any compensating controls.

Records related to eligibility must be stored in the designated repository with a clear owner and retention period.

Metrics related to eligibility should be reviewed periodically to identify recurring issues and opportunities for improvement."
remote-work-policy::4-workstation-standards,remote-work-policy,Remote Work Policy,4. Workstation Standards,People Operations,"Remote Work Policy
4. Workstation Standards
The section on workstation standards defines the standard rule, the approval path, and the records that must be retained.

Requests related to workstation standards should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for workstation standards, the exception must include the reason, the duration, and any compensating controls.

Records related to workstation standards must be stored in the designated repository with a clear owner and retention period.

Metrics related to workstation standards should be reviewed periodically to identify recurring issues and opportunities for improvement."
remote-work-policy::5-core-hours,remote-work-policy,Remote Work Policy,5. Core Hours,People Operations,"Remote Work Policy
5. Core Hours
The section on core hours defines the standard rule, the approval path, and the records that must be retained.

Requests related to core hours should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for core hours, the exception must include the reason, the duration, and any compensating controls.

Remote employees are expected to be reachable during core collaboration hours of 10:00 to 15:00 in their home time zone unless approved otherwise.

Outside core hours, teams may set role-specific schedules with manager approval."
remote-work-policy::6-security-for-remote-work,remote-work-policy,Remote Work Policy,6. Security For Remote Work,People Operations,"Remote Work Policy
6. Security For Remote Work
The section on security for remote work defines the standard rule, the approval path, and the records that must be retained.

Requests related to security for remote work should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for security for remote work, the exception must include the reason, the duration, and any compensating controls.

Records related to security for remote work must be stored in the designated repository with a clear owner and retention period.

Metrics related to security for remote work should be reviewed periodically to identify recurring issues and opportunities for improvement."
remote-work-policy::7-travel-while-remote,remote-work-policy,Remote Work Policy,7. Travel While Remote,People Operations,"Remote Work Policy
7. Travel While Remote
The section on travel while remote defines the standard rule, the approval path, and the records that must be retained.

Requests related to travel while remote should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for travel while remote, the exception must include the reason, the duration, and any compensating controls.

Records related to travel while remote must be stored in the designated repository with a clear owner and retention period.

Metrics related to travel while remote should be reviewed periodically to identify recurring issues and opportunities for improvement."
remote-work-policy::8-exceptions-and-escalations,remote-work-policy,Remote Work Policy,8. Exceptions and Escalations,People Operations,"Remote Work Policy
8. Exceptions and Escalations
Exceptions must be rare, time-bound, and approved by the designated authority named in the relevant section.

All exceptions must be logged with the approver, rationale, expiration date, and any required follow-up actions."
remote-work-policy::9-document-control,remote-work-policy,Remote Work Policy,9. Document Control,People Operations,"Remote Work Policy
9. Document Control
Document owner: Remote Work Policy owner

Version: 3.0-rag

Effective date: 2026-04-20

Review frequency: annual or upon material change"
health-and-safety-policy::1-purpose-and-scope,health-and-safety-policy,Health and Safety Policy,1. Purpose and Scope,Operations,"Health and Safety Policy
1. Purpose and Scope
Health and Safety Policy describes the formal policy requirements and operating procedures used by Northstar Analytics Ltd.. It is written as a synthetic but realistic document for training retrieval, summarization, and question-answering systems.

This document applies to all employees, interns, temporary workers, and approved contractors unless a section explicitly states otherwise.

Managers are responsible for enforcing this policy consistently and for escalating unusual cases to the document owner."
health-and-safety-policy::2-roles-and-responsibilities,health-and-safety-policy,Health and Safety Policy,2. Roles and Responsibilities,Operations,"Health and Safety Policy
2. Roles and Responsibilities
Employees must read, understand, and follow the policy requirements relevant to their role.

Managers must document exceptions in writing and retain approvals in the designated system of record.

The document owner reviews this policy at least annually and whenever business, legal, or technical requirements materially change."
health-and-safety-policy::3-hazard-reporting,health-and-safety-policy,Health and Safety Policy,3. Hazard Reporting,Operations,"Health and Safety Policy
3. Hazard Reporting
The section on hazard reporting defines the standard rule, the approval path, and the records that must be retained.

Requests related to hazard reporting should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for hazard reporting, the exception must include the reason, the duration, and any compensating controls.

Records related to hazard reporting must be stored in the designated repository with a clear owner and retention period.

Metrics related to hazard reporting should be reviewed periodically to identify recurring issues and opportunities for improvement."
health-and-safety-policy::4-ergonomics,health-and-safety-policy,Health and Safety Policy,4. Ergonomics,Operations,"Health and Safety Policy
4. Ergonomics
The section on ergonomics defines the standard rule, the approval path, and the records that must be retained.

Requests related to ergonomics should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for ergonomics, the exception must include the reason, the duration, and any compensating controls.

Records related to ergonomics must be stored in the designated repository with a clear owner and retention period.

Metrics related to ergonomics should be reviewed periodically to identify recurring issues and opportunities for improvement."
health-and-safety-policy::5-emergency-response,health-and-safety-policy,Health and Safety Policy,5. Emergency Response,Operations,"Health and Safety Policy
5. Emergency Response
The section on emergency response defines the standard rule, the approval path, and the records that must be retained.

Requests related to emergency response should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for emergency response, the exception must include the reason, the duration, and any compensating controls.

Records related to emergency response must be stored in the designated repository with a clear owner and retention period.

Metrics related to emergency response should be reviewed periodically to identify recurring issues and opportunities for improvement."
health-and-safety-policy::6-first-aid,health-and-safety-policy,Health and Safety Policy,6. First Aid,Operations,"Health and Safety Policy
6. First Aid
The section on first aid defines the standard rule, the approval path, and the records that must be retained.

Requests related to first aid should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for first aid, the exception must include the reason, the duration, and any compensating controls.

Records related to first aid must be stored in the designated repository with a clear owner and retention period.

Metrics related to first aid should be reviewed periodically to identify recurring issues and opportunities for improvement."
health-and-safety-policy::7-incident-review,health-and-safety-policy,Health and Safety Policy,7. Incident Review,Operations,"Health and Safety Policy
7. Incident Review
The section on incident review defines the standard rule, the approval path, and the records that must be retained.

Requests related to incident review should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for incident review, the exception must include the reason, the duration, and any compensating controls.

Records related to incident review must be stored in the designated repository with a clear owner and retention period.

Metrics related to incident review should be reviewed periodically to identify recurring issues and opportunities for improvement."
health-and-safety-policy::8-exceptions-and-escalations,health-and-safety-policy,Health and Safety Policy,8. Exceptions and Escalations,Operations,"Health and Safety Policy
8. Exceptions and Escalations
Exceptions must be rare, time-bound, and approved by the designated authority named in the relevant section.

All exceptions must be logged with the approver, rationale, expiration date, and any required follow-up actions."
health-and-safety-policy::9-document-control,health-and-safety-policy,Health and Safety Policy,9. Document Control,Operations,"Health and Safety Policy
9. Document Control
Document owner: Health and Safety Policy owner

Version: 3.0-rag

Effective date: 2026-04-20

Review frequency: annual or upon material change"
leave-and-benefits-policy::1-purpose-and-scope,leave-and-benefits-policy,Leave and Benefits Policy,1. Purpose and Scope,People Operations,"Leave and Benefits Policy
1. Purpose and Scope
Leave and Benefits Policy describes the formal policy requirements and operating procedures used by Northstar Analytics Ltd.. It is written as a synthetic but realistic document for training retrieval, summarization, and question-answering systems.

This document applies to all employees, interns, temporary workers, and approved contractors unless a section explicitly states otherwise.

Managers are responsible for enforcing this policy consistently and for escalating unusual cases to the document owner."
leave-and-benefits-policy::2-roles-and-responsibilities,leave-and-benefits-policy,Leave and Benefits Policy,2. Roles and Responsibilities,People Operations,"Leave and Benefits Policy
2. Roles and Responsibilities
Employees must read, understand, and follow the policy requirements relevant to their role.

Managers must document exceptions in writing and retain approvals in the designated system of record.

The document owner reviews this policy at least annually and whenever business, legal, or technical requirements materially change."
leave-and-benefits-policy::3-annual-leave,leave-and-benefits-policy,Leave and Benefits Policy,3. Annual Leave,People Operations,"Leave and Benefits Policy
3. Annual Leave
The section on annual leave defines the standard rule, the approval path, and the records that must be retained.

Requests related to annual leave should be submitted through the official workflow rather than handled informally through chat or email alone.

When a manager grants an exception for annual leave, the exception must include the reason, the duration, and any compensating controls.

Full-time employees accrue 20 working days of annual leave per year, prorated for partial years of service.

Leave requests of more than 10 consecutive working days require manager approval at least 2 weeks in advance."
